time,aqi,pm2_5,pm10,co,no2,o3,so2,rank,temp,humi,wse,wd,tq
2014-02-01 04:00:00,69,50,0,0.5,11,59,8,42,15.0,67,2.0,东北风,
2014-02-01 05:00:00,69,50,0,0.5,14,56,5,43,16.0,66,1.0,东风,
2014-02-01 06:00:00,63,45,0,0.5,9,62,7,43,15.0,69,2.0,东风,
2014-02-01 09:00:00,87,64,75,0.7,25,40,20,66,15.0,72,1.0,东风,
2014-02-01 10:00:00,74,54,67,0.6,24,52,13,45,18.0,60,1.0,南风,
2014-02-01 11:00:00,71,51,63,0.6,13,71,17,46,20.0,50,2.0,西风,
2014-02-01 12:00:00,74,54,56,0.6,16,78,62,65,22.0,45,2.0,西风,
2014-02-01 13:00:00,69,50,57,0.6,8,94,32,60,24.0,40,2.0,西风,
2014-02-01 14:00:00,96,72,68,0.7,8,109,18,96,24.0,39,2.0,西风,
2014-02-01 15:00:00,98,73,85,0.7,11,110,23,98,25.0,35,2.0,西风,
2014-02-01 16:00:00,91,68,86,0.7,11,113,22,90,25.0,36,2.0,西风,
2014-02-01 17:00:00,95,71,87,0.8,14,115,19,90,24.0,38,1.0,西北风,
2014-02-01 18:00:00,122,92,92,0.9,23,104,24,99,21.0,46,0.0,北风,
2014-02-01 20:00:00,148,113,125,1.3,48,51,21,101,18.0,57,1.0,东南风,
2014-02-01 21:00:00,150,115,144,1.2,44,48,18,99,17.0,63,1.0,东南风,
2014-02-01 22:00:00,145,111,134,1.1,34,51,14,99,16.0,66,1.0,东风,
2014-02-01 23:00:00,134,102,114,1.0,24,53,12,91,15.0,69,0.0,北风,
2014-02-02 00:00:00,143,109,105,1.0,28,44,11,100,14.0,74,0.0,北风,
2014-02-02 01:00:00,150,115,0,1.1,39,28,11,104,14.0,74,0.0,北风,
2014-02-02 02:00:00,141,108,107,1.0,31,34,9,99,14.0,76,1.0,北风,
2014-02-02 03:00:00,143,109,87,1.0,25,33,7,98,13.0,80,1.0,东南风,
2014-02-02 04:00:00,123,93,100,0.9,18,35,7,86,12.0,84,1.0,东北风,
2014-02-02 05:00:00,133,101,102,0.9,23,24,6,94,12.0,84,1.0,东风,
2014-02-02 06:00:00,138,105,116,0.9,30,19,7,93,11.0,86,1.0,东风,
2014-02-02 08:00:00,143,109,0,0.9,23,20,7,92,13.0,79,2.0,东南风,
2014-02-02 09:00:00,154,117,0,1.0,23,26,11,99,13.0,79,2.0,东南风,
2014-02-02 10:00:00,183,138,0,1.1,23,42,17,113,16.0,69,1.0,东风,
2014-02-02 11:00:00,189,142,152,1.1,23,67,21,113,19.0,58,1.0,东南风,
2014-02-02 12:00:00,162,123,128,0.9,16,96,21,93,22.0,46,1.0,南风,
2014-02-02 13:00:00,146,112,0,0.9,13,116,19,85,22.0,46,1.0,南风,
2014-02-02 14:00:00,129,98,106,0.8,15,127,18,80,24.0,42,1.0,西风,
2014-02-02 15:00:00,122,92,95,0.8,19,127,44,83,25.0,40,2.0,西南风,
2014-02-02 16:00:00,108,81,93,0.7,12,127,27,80,25.0,39,1.0,西风,
2014-02-02 17:00:00,98,73,86,0.7,13,119,11,73,23.0,43,1.0,西风,
2014-02-02 18:00:00,111,83,94,0.9,20,102,12,80,22.0,47,1.0,西风,
2014-02-02 19:00:00,126,95,100,1.0,36,74,14,82,21.0,50,1.0,西南风,
2014-02-02 20:00:00,139,106,122,1.2,53,44,16,97,19.0,58,0.0,北风,
2014-02-02 21:00:00,146,112,129,1.4,61,28,16,105,18.0,65,1.0,南风,
2014-02-02 22:00:00,127,96,130,1.2,38,41,14,96,17.0,67,0.0,北风,
2014-02-03 00:00:00,133,101,122,1.2,49,16,10,113,15.0,73,1.0,东南风,
2014-02-03 02:00:00,122,92,104,1.0,34,19,8,118,14.0,78,0.0,北风,
2014-02-03 03:00:00,111,83,90,0.9,22,25,8,114,14.0,78,1.0,东风,
2014-02-03 04:00:00,112,84,98,0.9,24,23,6,121,13.0,81,0.0,北风,
2014-02-03 05:00:00,103,77,95,0.8,15,30,5,117,13.0,84,0.0,北风,
