time,aqi,pm2_5,pm10,co,no2,o3,so2,rank,temp,humi,wse,wd,tq
2014-01-01 00:00:00,138,101,127,1.2,63,27,51,119,10.0,62,1.0,东南风,
2014-01-01 01:00:00,138,99,121,1.1,60,21,49,117,10.0,62,1.0,东南风,
2014-01-01 02:00:00,138,96,121,1.1,61,14,55,120,10.0,62,1.0,东南风,
2014-01-01 03:00:00,139,88,125,0.9,46,30,53,120,10.0,62,1.0,东南风,
2014-01-01 04:00:00,139,87,105,1.0,38,29,42,119,10.0,62,1.0,东南风,
2014-01-01 05:00:00,139,73,93,0.8,32,37,36,121,10.0,62,1.0,东南风,
2014-01-01 06:00:00,139,78,72,0.9,34,31,40,124,10.0,62,1.0,东南风,
2014-01-01 07:00:00,139,93,89,1.1,48,15,49,124,10.0,62,1.0,东南风,
2014-01-01 08:00:00,138,109,107,1.2,54,14,50,118,10.0,62,1.0,东南风,
2014-01-01 09:00:00,138,125,0,1.4,59,15,65,119,10.0,62,1.0,东南风,
2014-01-01 10:00:00,139,136,151,1.6,66,26,92,118,10.0,62,1.0,东南风,
2014-01-01 11:00:00,139,134,168,1.6,81,28,157,121,10.0,62,1.0,东南风,
2014-01-01 12:00:00,140,132,190,1.5,91,34,149,120,10.0,62,1.0,东南风,
2014-01-01 13:00:00,139,102,162,1.2,70,66,78,120,10.0,62,1.0,东南风,
2014-01-01 14:00:00,138,84,111,1.0,52,94,53,117,10.0,62,1.0,东南风,
2014-01-01 15:00:00,138,78,102,0.9,46,103,45,117,10.0,62,1.0,东南风,
2014-01-01 16:00:00,138,70,97,0.8,47,100,36,116,10.0,62,1.0,东南风,
2014-01-01 17:00:00,137,67,100,0.9,66,76,37,112,10.0,62,1.0,东南风,
2014-01-01 19:00:00,138,156,233,3.1,138,9,97,110,10.0,62,1.0,东南风,
2014-01-01 20:00:00,138,152,226,3.3,123,7,95,112,10.0,62,1.0,东南风,
2014-01-01 21:00:00,138,173,248,3.5,121,3,80,110,10.0,62,1.0,东南风,
2014-01-01 22:00:00,138,162,230,2.2,109,2,53,110,10.0,62,1.0,东南风,
2014-01-01 23:00:00,139,146,186,1.8,104,1,44,109,10.0,62,1.0,东南风,
2014-01-02 00:00:00,140,130,152,1.6,97,1,43,108,10.0,62,1.0,东南风,
2014-01-02 01:00:00,143,158,0,1.6,94,3,66,114,10.0,62,1.0,东南风,
2014-01-02 02:00:00,145,169,176,1.8,87,1,63,120,10.0,62,1.0,东南风,
2014-01-02 03:00:00,149,168,187,1.7,86,2,58,126,10.0,62,1.0,东南风,
2014-01-02 04:00:00,152,153,173,1.6,81,1,47,127,10.0,62,1.0,东南风,
2014-01-02 05:00:00,157,162,181,1.8,79,1,66,132,10.0,62,1.0,东南风,
2014-01-02 06:00:00,159,166,182,1.8,76,1,82,135,10.0,62,1.0,东南风,
2014-01-02 07:00:00,162,158,165,1.8,73,2,89,134,10.0,62,1.0,东南风,
2014-01-02 08:00:00,166,164,167,1.9,67,3,82,136,10.0,62,1.0,东南风,
2014-01-02 09:00:00,169,164,188,2.1,74,5,88,136,10.0,62,1.0,东南风,
2014-01-02 10:00:00,171,151,205,1.8,80,12,84,135,10.0,62,1.0,东南风,
2014-01-02 11:00:00,172,159,220,1.7,88,25,83,134,10.0,62,1.0,东南风,
2014-01-02 12:00:00,173,145,226,1.5,86,44,88,137,10.0,62,1.0,东南风,
2014-01-02 14:00:00,179,114,172,1.2,71,82,68,142,10.0,62,1.0,东南风,
2014-01-02 15:00:00,182,133,180,1.3,93,69,178,144,10.0,62,1.0,东南风,
2014-01-02 16:00:00,189,136,201,1.2,103,46,163,150,10.0,62,1.0,东南风,
2014-01-02 17:00:00,194,119,199,1.2,114,33,118,151,10.0,62,1.0,东南风,
2014-01-02 18:00:00,207,156,218,2.3,153,8,102,164,10.0,62,1.0,东南风,
2014-01-02 19:00:00,250,199,308,2.8,146,7,104,173,10.0,62,1.0,东南风,
2014-01-02 20:00:00,264,214,316,3.4,141,6,115,171,10.0,62,1.0,东南风,
2014-01-02 21:00:00,268,218,324,3.2,124,4,78,171,10.0,62,1.0,东南风,
2014-01-02 22:00:00,265,215,293,3.0,112,3,69,168,10.0,62,1.0,东南风,
2014-01-02 23:00:00,257,207,290,2.5,109,2,51,166,10.0,62,1.0,东南风,
2014-01-03 00:00:00,227,176,223,1.7,96,1,35,148,10.0,62,1.0,东南风,
2014-01-03 01:00:00,226,175,189,1.9,90,1,37,143,10.0,62,1.0,东南风,
2014-01-03 02:00:00,247,196,222,2.1,85,2,38,157,10.0,62,1.0,东南风,
2014-01-03 03:00:00,228,177,226,1.8,75,1,39,149,10.0,62,1.0,东南风,
2014-01-03 04:00:00,213,162,197,1.6,66,1,41,138,10.0,62,1.0,东南风,
2014-01-03 05:00:00,206,155,177,1.6,66,1,64,132,10.0,62,1.0,东南风,
2014-01-03 06:00:00,206,155,167,1.5,63,1,58,134,10.0,62,1.0,东南风,
2014-01-03 07:00:00,196,147,164,1.6,61,2,65,128,10.0,62,1.0,东南风,
2014-01-03 08:00:00,230,179,198,2.0,65,3,77,142,10.0,62,1.0,东南风,
2014-01-03 09:00:00,258,208,233,2.2,77,4,101,149,10.0,62,1.0,东南风,
